places,state,type,rating,description,best_time_to_visit,avg_accommodation_cost/day(Rs)
Himatnagar,gujarat,Historical,4.1,"Himmatnagar is located in the Sabarkantha district of Gujarat, India. The municipality is the administrative headquarters of the region which is located on the banks of the river Hathmathi. The city was established in the 15th century and is a place with a rich history. There are several historic fo...",October to May,3118.42
Bhavnagar,gujarat,Historical,4.0,"Located at the southern tip of Gujarat peninsula, Bhavnagar is known as the cultural centre of the state of Gujarat. Literary achievers like Govardhan Tripathi, Kavi Kant, Narsihm Mehta and Ganga Sati have their roots in Bhavnagar. While on one side, you'd see the careless waves of Gulf of Khambat, ...",October to Apr,4275.4
Palanpur,gujarat,Historical,4.4,"Palanpur, is a city and municipality in Banaskantha district of Gujarat, India. It is the administrative headquarters of the district, known for its massive architectural shrines dedicated to Hinduism and Jainism and it’s enriching history. A visit to this place would bring you into terms with the v...",October to March,4839.68
Umbergaon,gujarat,Historical,3.8,"Located in the Valsad district in the state of Gujarat, Umbergaon or Umargam is a small census town inhabited by fisher folks essentially. Based on a slightly mountainous region, the town is very close to the Maharashtra border and is known for its several gorgeous beaches and ancient temples. Besid...",July to December,4414.33
Anjar,gujarat,Historical,3.8,"Anjar is a town and municipality in Kutch District, Gujarat. With over 1,400 years of history, it is known as the oldest town in Kutch. Anjar is famous for its cuisine, its known for the gher and dabeli. It has also been a centre for trade and commerce in Kutch for eons, being a target of invas...",October to Apr,3094.65
Pirotan Island,gujarat,Adventure,4.0,"Pirotan Island spreads over an area of 3 square kilometres and is one of forty-two islands in the marine park area, nestled within the vicinity of the Marine National Park in the Jamnagar district of Gujarat on the western coast. As part of the first marine national park - the Gulf of Kutch Mar...",October to June,3797.06
Dandi Beach,gujarat,Beach,4.2,"Well known for its historical significance, Dandi in Surat is a beautiful beach destination. The scenic beauty combined with its rich history make it a favourite among all tourists visiting this place. The serene and pristine beauty of Dandi is only second to its long and illustrious history. The sa...",November to April,3474.9
Zarwani Waterfalls,gujarat,Adventure,4.1,"At a distance of about 90 km from Vadodara in Gujarat, Zarwani Waterfalls are amongst the most sought natural destinations in India. Huddled deep inside the heart of Shoolpaneshwar Wildlife Sanctuary near the district of Narmada, the perennial and gorgeous Zarwani Waterfalls provide you with an oppo...",October to March,3797.06
Hathni Waterfalls,gujarat,Adventure,4.7,"Jambughoda is home to one of the most breathtaking and magnificent waterfalls you can visit in the Indian subcontinent. About a 100 metres in length and flowing with rich greenery, Hathni Waterfalls are surrounded by a variety of beautiful flora and fauna. If you find the peaceful sound of flowing w...",October to March,3797.06
Kabirvad,gujarat,Religious,4.0,"Kabirvad is a small island in the Bharuch district of Gujarat rumoured to be Saint Kabir’s residence several hundred years ago. Located along the banks of the river Narmada, the island promises you a calm and serene abode underneath the humongous canopy of Banyan trees that Kabirvad is most prominen...",October to March,3229.855
Vadla,gujarat,Historical,4.6,"Vadla is an up and coming haven for migratory birds making their way to the marshy wetlands of Gujarat, just a short drive away from Ahmedabad. Vadla still remains relatively unknown and undiscovered in comparison to the Nal Sarovar Bird Sanctuary and is a hidden gem only known to the locals.",October to March,3118.42
Modhera,gujarat,Historical,3.8,"Modhera is an ancient village in the state of Gujarat, famed for housing the remains of the Sun Temple built by the Chalukya dynasty is a true historical treasure. The village is surrounded by a mystical aura that the Sun Temple brings along, it is also a hub for spirituality and culture. Modhera gi...",Throughout the year,3118.42
Marine National Park,gujarat,Historical,4.1,"Marine National Park in the Gulf of Kutch is the first marine conservatory built in India. Crediting to its diverse range of flora and fauna, it accounts for a magnanimous natural site for India's natural resource and beauty. The park is distributed in 42 scattered islands in an archipelago. The par...",July to March,3118.42
Wankaner,gujarat,Historical,4.3,"Situated at the bending point of River Macchu in Gujarat, Wankaner is a princely town known for its royal lineage and heritage monuments. The city gets its name from its location; ‘wanka’ meaning ‘bend’ and ‘ner’ meaning ‘river’. Also known as Jhalawar, the city was originally ruled by Jhala Rajputs...",November to May,3118.42
Nargol Beach,gujarat,Beach,4.2,"Nargol Beach is a beautiful and serene beach situated in the state of Gujarat prolifically spread over an area of 16km. The beauty of this beach is enhanced tenfold by the lush green casuarinas trees. While the beach is not ideal for swimming, It is a perfect place for leisure walks or a picnic. The...",Throughout the year,3474.9
Sardar Sarovar Dam,gujarat,Historical,3.8,"Located near Navagam in Gujarat, Sardar Sarovar Dam is a massive gravity dam built on the River Narmada which was built to conserve water and help the environment and the people around. The foundation of the project was laid down by Pandit Jawaharlal Nehru in 1961 and the construction work for the s...","October to December, March to Apr",3118.42
Ratanmahal Sloth Bear Sanctuary,gujarat,Adventure,4.1,"Ratanmahal Sloth Bear Sanctuary is a hilly isle known to be the home of the Sloth Bears in Dahod District, Gujarat. The locals suggest that the Sloth Bear is far more dangerous than a leopard, but assist tourists in spotting this thrilling beast. The Kanjeta Eco campsite is the on-site full-service ...",October to March,3797.06
Zanzari Waterfalls,gujarat,Adventure,5.0,"The Vatrak River of Dehgam, Gujarat boasts of the Zanzari Waterfalls. The main waterfall is 25 feet high and lands on a picturesque set of rocks, boulders and craters.",Throughout the year,3797.06
Taranga Hills,gujarat,Adventure,4.5,"Taranga refers to a three-peaked hill located in the Mehsana district of Gujarat, on the banks of the river Sabarmati. It is located at a distance of 130 km from Ahmedabad. Taranga Hills holds great importance for Jains as they consider it to be one of the five most Mahatirthas. The famed Ajitnath J...",September to May,3797.06
Sardar Patel Zoological Park,gujarat,Adventure,3.7,"Sardar Patel Zoological Park is a newly inaugurated zoo situated in Kevadia, a town in the Narmada district of Gujarat. Located in the vicinity of the majestic Statue of Unity, this tremendous establishment hosts about 170 different species of wildlife from all across the globe, is home to a wide ra...",October to March,3797.06
Thol Bird Sanctuary,gujarat,Adventure,4.2,Thol Bird Sanctuary is an ecologically rich bird reserve located on Thol lake in the Mehsana district of Gujarat. It is nestled amidst dense deciduous vegetation and is one of the most popular places for bird-viewing in the state. The sanctuary welcomes vast varieties of endemic as well as migratory...,October to Apr,3797.06
Gurgaon,haryana,Historical,4.4,"Once little more than a dull and comparatively unknown suburb of the national capital region, today, Gurgaon is not only one of the most urbanised cities of India, but it also boasts of a skyline that can easily rival those of Hong Kong and Singapore. Easily accessible from Delhi and Noida, Gurgaon ...",April to October,3876.28
Kurukshetra,haryana,Religious,4.2,"A city in the state of Haryana, Kurukshetra, also known as Dharmakshetra is known as the ""Land of the Bhagavad Gita"". Situated 170 km north to Delhi, the place is famous for the battle between the Kauvaras and the Pandavas in the Hindu epic, Mahabharata. It is the place where Lord Krishna is said to...",Throughout the year,3673.12
Panchkula,haryana,Historical,4.0,"Present on the way to hills of Shimla, Panchkula is famous for the ruins of the Chandels and trekking on Morni Hills teemed with peacocks.",August to February,3697.2
Faridabad,haryana,Historical,4.0,"Faridabad is Haryana's largest city and its major industrial hub as well. Faridabad is the main part of district Faridabad which has two divisions - Faridabad and Ballabgarh. The city shares borders with New Delhi on its north, Gurgaon to its west and Uttar Pradesh on its south west ends.",October to March,2241.92
Panipat,haryana,Historical,4.0,"Located at a distance of 90 km from Delhi, Panipat is known for the three historical battles that were fought here. Innumerable monument, forts, temples and its magnificent historical connections make Panipat in Haryana an interesting tourist destination. Also known as 'City of Weavers', a...",October to March,1982.87
Narnaul,haryana,Historical,3.9,The historic town of Narnaul in Mahendergarh district of Haryana claims to be one of the important seats of the Dwapar yuga of Mahabharata.,September to May,1898.92
Nuh,haryana,Historical,4.1,"70 kms off Delhi and at 190 m altitude, the historical city of Nuh traces its roots to the Aryan civilization, and later the Tughlaq Dynasty..",June to March,5965.6
Karnal,haryana,Historical,3.9,"Karnal, a city in the Indian state of Haryana, boasts of a history reaching into the period of the Mahabharata. Nestled in the banks of the sacred Yamuna River, Karnal today is popularly called the ‘Rice Bowl of India’ for its vast rice fields.",July to April,7882.78
Rohtak,haryana,Historical,4.5,"The Heart of Haryana, Rohtak is situated just 70 kms away from the Heart of the India, Delhi and happens to be a part of the National Capital Region (NCR). There have been many rumours regarding the name of the city and its origins. With evidence suggesting that the old town is as old as the Indus V...",Throughout the year,1472.98
Sultanpur Bird Sanctuary,haryana,Adventure,4.3,"A perfect weekend getaway from Delhi, Sultanpur Bird Sanctuary is an amazing escape, especially for nature lovers and birding enthusiasts. It is home to a number of migratory birds and is a great spot for spotting the various species, especially during winters. Sultanpur Bird Sanctuary is located at...",October to February,3797.06
Morni Hills,haryana,Adventure,3.7,"Morni Hills is a hill station situated on the outskirts of Panchkula in Haryana close to Chandigarh. Being the only hill stations in Haryana, it is also a popular picnic destination for locals and tourists alike. The hills are 1,220 metres in height and have some really stunning views to offer....",October - February,3797.06
Damdama Lake,haryana,Adventure,3.6,"Damdama Lake is a beautiful lake 24 km south of Gurugram, off the Gurugram-Alwar road. It is around 64 km i.e. an hour's drive away from New Delhi and has a calm and peaceful vibe about it. The lake was commissioned by the British in 1947 for rainwater harvesting. In its current form, however, ...",October - March,3797.06
Manesar,haryana,Historical,4.0,"Manesar is a unique combination of modern and traditional lifestyles and is an upcoming destination that needs to be visited on your next road trip from Delhi to Jaipur. It is highly advised to you spent at least a day in this town to experience its farm tourism, its spas and relax, before you head ...",September to March,3118.42
Murthal,haryana,Historical,4.1,"A favourite among the people of Delhi, Murthal is a place that lives, breathes, eats, and loves Paranthas. Situated on National Highway 1 connecting Delhi to Amritsar, Murthal is a step away from being the Paratha capital of India. A large village in the Sonepat district of Haryana, it has become a ...",August to March,3118.42
Kalesar National Park,haryana,Adventure,3.1,"Spread over a stretch of whopping 13,000 acres (53 km square) Kalesar National Park is a protected area in Yamuna Nagar, Haryana, perfect for nature enthusiasts and wildlife lovers. Because of its natural scenic beauty and amazing flora and fauna, the park is also an ideal tourist and picnic locatio...",September to February,3797.06
Manali,himachal-pradesh,Adventure,4.8,"With spectacular valleys, breathtaking views, snowcapped mountains, and lush forests of oak, deodar, and pine, Manali is a magical hill station at the northern end of Kullu valley in Himachal Pradesh. Gifted to the world by the mighty Himalayas, it is known to be one of the most popular destinations...",Throughout the year,3415.89
Kasol,himachal-pradesh,Adventure,3.0,"Kasol is a quaint little village in Himachal situated along the banks of the river Parvati. Commonly known as the 'Amsterdam of India', Kasol is a tourist attraction that is rapidly gaining fame as a popular hub for trekkers, backpackers, and nature lovers. The valley is situated 23 kms from Bh...",September to Apr,1761.5
Shimla,himachal-pradesh,Adventure,5.0,"Shimla is the capital of Himachal Pradesh and a popular hill-station among Indian families and honeymooners. Situated at the height of 2200m, it was the summer capital of British India. The hill station still retains its old-world charm with beautiful colonial architecture, pedestrian...",October to March,255721.43
Dalhousie,himachal-pradesh,Adventure,4.2,"Dalhousie is a popular hill station spread out over five hills in Himachal Pradesh boasting views of the snow-capped peaks of the Dhauladhar ranges. Famous for its meadows, dense forests, and waterfalls, it is especially a favourite amongst honeymooners and family vacationers.",October to March,3361.73
Bir Billing,himachal-pradesh,Adventure,4.5,"Situated in the picturesque Kangra district of Himachal Pradesh, Bir Billing is a charming town nestled in the Joginder Nagar valley. Renowned globally as a paragliding hotspot, Bir is also revered as a haven for meditation and spiritual studies. Influenced by Tibetan culture due to the settlem...","October - February; April, May",3797.06
Kasauli,himachal-pradesh,Adventure,4.4,"Kasauli, a serene hill station in Himachal Pradesh, offers breathtaking panoramic views of lush green valleys and snow-capped peaks from its altitude of 1,900 meters above sea level. Nestled amidst the majestic Himalayas, it's an ideal escape from city life, known for its pleasant weather year-round...",July to March,5804.61
Kaza,himachal-pradesh,Adventure,4.3,"Located in the rugged landscapes of Himachal Pradesh, Kaza stands as the administrative capital of the remote Spiti Valley. Nestled amidst towering mountains and barren deserts, Kaza offers a unique blend of natural beauty and cultural richness, making it a must-visit destination for adventurous tra...",October to March,2283.49
Jibhi,himachal-pradesh,Adventure,4.4,"Located in the serene valleys of Himachal Pradesh, Jibhi is a hidden gem that offers a tranquil retreat amidst nature's bounty. Situated in the Banjar Valley, Jibhi is known for its breathtaking landscapes, lush greenery, and serene ambiance, making it an ideal destination for those seeking solace a...",October to February,3072.72
Sethan Valley,himachal-pradesh,Adventure,4.4,"Sethan is a quaint village in Himachal Pradesh, approximately 12 km from Manali. This Buddhist village is a tiny hamlet that oversees the Dhauladhar range. Covered in snow during winters, Sethan Valley is a great place to try out skiing and snowboarding.",October to March,3797.06
Khajjiar,himachal-pradesh,Adventure,4.1,"Often referred to as 'mini-Switzerland of India', Khajjiar is a small town located close (20km) to Dalhousie and is great for a day or overnight trip. Khajjiar is known for its picture perfect grassy meadows.There is the Khajjiar Lake in the middle of the meadow and you could enj...",October to Apr,2626.2
Kufri,himachal-pradesh,Adventure,4.2,"Kufri is a quaint little hill town 20km away from Shimla,Himachal Pradesh. Earlier known to be the summer retreat for the British in 1819, Kufri still harbors its past through the colonial buildings and architecture around. With its pleasant summer weather and winter snowfall, Kufri is flocked by to...",October to March,4689.15
Triund,himachal-pradesh,Adventure,4.2,"Triund is an easy trek in Himachal Pradesh that offers you an escape into the majestic Himalayas. Situated a few kilometres from Dharamshala at an altitude of 2828 m, it is a place perfect for trekking with amazing trails offering scenic views of the entire Kangra Valley. A trek to Triund is short a...",November to May,3797.06
Malana,himachal-pradesh,Adventure,4.2,"Isolated from the rest of the world lies a solitary village in Malana Nala, which is a side valley of the Parvati Valley. Known as Malana or the Malana Village, it is located in the Kullu district. Widely known for its strong culture and religious beliefs, with various sentiments embedded ...",October to March,3797.06
Tosh,himachal-pradesh,Adventure,4.0,"Popular for its cannabis plantations, the tranquil village of Tosh is just another example of the unparalleled natural beauty that Himachal Pradesh holds within its bounds. Located at the far end of Parvati Valley, Tosh is untouched by modernisation and fast-paced life. With its gradual terrain...","April to June, September to November",3797.06
Chail,himachal-pradesh,Adventure,4.3,"Chail is a quiet hill station close (44km) to Shimla, known for the world's highest cricket ground and a heritage hotel, Chail Palace. Surrounded by pine and deodar trees, Chail is located at an altitude of 2,250m above sea level.",October to February,3817.98
Tirthan Valley,himachal-pradesh,Adventure,4.6,"Nestled in the serene landscapes of Himachal Pradesh, Tirthan Valley is a hidden gem awaiting discovery by avid travelers and nature enthusiasts. Located in the Kullu district, approximately 60 kilometers from the popular hill station of Manali, Tirthan Valley offers a tranquil escape from the hustl...",August to April,2574.76
Kullu,himachal-pradesh,Adventure,4.4,"Quietly situated by the Beas River, Kullu is a cluster of beautiful valleys in Himachal, and that's mainly why it's known as the 'Valley of Gods.' Known for the deodar trees, snow-clad mountains, and apple orchards, Kullu is usually coupled with its sister town Manali, hence a favorite among tourist...",October to March,2713.26
Palampur,himachal-pradesh,Adventure,4.4,"Nestled amidst the lush green landscapes of Himachal Pradesh, Palampur is a charming town renowned for its picturesque beauty, serene ambiance, and pleasant weather. Located in the Kangra Valley, Palampur is often referred to as the ""Tea Capital of North India"" due to its vast tea gardens and planta...",September to January,3064.02
Narkanda,himachal-pradesh,Adventure,4.4,"Surrounded by tropical forests, majestic hills and woodlands, Narkanda is a quaint little town 63 kms away from Shimla district which is popular for skiing in winters. This hill station connects Shimla to the valleys of Kinnaur and Spiti and receives snowfall in abundance during winters.&n...",December to February,4279.02
Prashar Lake Trek,himachal-pradesh,Adventure,4.0,"Prashar Lake is a crystal clear water body situated about 50 km north of Mandi, with a three storied pagoda-like temple dedicated to the sage Prashar. The lake is located at the height of 2730 m above sea level with deep blue waters and holds a saintly position there. Bounded by snow-toppe...",September to February,3797.06
Sissu,himachal-pradesh,Adventure,4.0,"Sissu, also known as Khwaling, is a picturesque village located on the banks of Chandra River in Lahaul Valley. At an altitude of about 3200 m, and only 6 km away from the North end of the recently opened Atal Tunnel, Sissu attracts tourists all-year long. The village is surrounded by snow-capped mo...",September to Apr,3797.06
Naggar,himachal-pradesh,Adventure,4.2,"Set against the backdrop of majestic hills and the clear and pristine Beas River, Naggar near Manali is home to a tiny slice of history, in the form of the Naggar castle. Once used as the residence of Raja Sidh Singh of Kullu, the castle is a fine blend of traditional Himalayan and European architec...",October to March,1997.98
Sarahan,himachal-pradesh,Adventure,4.4,"Sarahan is a beautiful hamlet situated near Kinnaur in the state of Himachal Pradesh. Known as the ""Gateway to Kinnaur"", it is located near the Sutlej River Valley and the Indo Tibetan road, at an altitude of 2165 m below sea level. Famous for the never-ending apple orchards, dense emerald pine and ...",September to February,3797.06
Jispa,himachal-pradesh,Adventure,4.5,"Jispa is a village on the banks of the Bhaga River in the Lahaul and Spiti District, and is located at a distance of 20 km from Keylong and about 92.3 km from Manali. Even though Jispa is often considered as a pitstop on the Manali - Leh route, the scenic beauty of the place, surrounded by snow-capp...",Throughout the year,3332.25
Kalpa,himachal-pradesh,Adventure,4.4,"Nestled amidst the towering peaks of the Kinnaur district in Himachal Pradesh, Kalpa is a serene and picturesque destination that offers a glimpse into the mesmerizing beauty of the Himalayas. Located at an altitude of 2,960 meters above sea level, Kalpa is renowned for its breathtaking views of the...",Throughout the year,2069.04
Parvati Valley,himachal-pradesh,Adventure,4.4,"Situated in Himachal Pradesh, Parvati Valley runs along the touristy destinations of the state. The stunning valley is famous for the backpacker hangouts, and adventure activities. It is also a popular amongst hippie travellers for its famous charas (hashish), rave parties, and spiritual experience.",October to May,1772.02
Fagu,himachal-pradesh,Adventure,4.3,"Situated at an elevation of 2500 meters, Fagu is a serene snow-clad hamlet, located around 45 minutes drive from Shimla. It is known for its apple plantations, sowing fields and the snow-covered Himalayas in the backdrop. Since it is secluded, Fagu is a honeymooner's heaven. It also popular amongst ...",July to March,3797.06
Kinnaur,himachal-pradesh,Adventure,3.8,"Nestled in the eastern part of Himachal Pradesh, Kinnaur is located on the Indo-Tibet border offering a unique blend of Indian and Tibetan cultures. Kinnaur hosts the views of Zanskar Valley, snow-draped Dhauladar range, Chitkul - the last village on the indo-Tibet border and have Satluj, Baspa and ...",November to May,2482.8
Kangra,himachal-pradesh,Adventure,3.9,"Kangra is a district in Himachal Pradesh with Dharamshala as the administrative headquarters. With might Beas River flowing through the Valley, Kangra is also known for the backdrop of Dhauladar range, ancient temples and endless tea plantations. Repeated mention of the Valley in the holy Hindu text...",October to March,2408.82
Keylong,himachal-pradesh,Adventure,4.3,"Keylong is located on the banks of River Bhaga, in the Lahaul and Spiti district. It is also the administrative center of the district, and houses most of the Government offices in Lahaul Valley. Keylong was rightly described by Rudyard Kipling as “surely the Gods live here, this is no place for men...",October to May,3332.25
Rohtang Pass,himachal-pradesh,Adventure,5.0,"Located at a distance of just 51 kilometres from Manali, Rohtang Pass can be reached only by road. The pass is located at a massive height of 3978 metres on Manali- Keylong road. When planning a trip to Manali, a day off to the vista point of Rohtang Pass is the ultimate and almost essential attract...",July to March,3797.06
Shoghi,himachal-pradesh,Adventure,3.9,"Located just 13 kilometers from Shimla, Shoghi is a quaint hill station in Himachal Pradesh, nestled amidst the lush greenery of the Himalayan foothills. The key reason to visit Shoghi is its serene and tranquil ambiance, offering a perfect escape from the hustle and bustle of city life. With its pi...",November to March,4726.56
Tattapani,himachal-pradesh,Adventure,4.1,"Located in Himachal Pradesh, Tattapani is a picturesque destination renowned for its natural hot water springs. Situated along the banks of the Sutlej River, Tattapani offers visitors a unique opportunity to relax and rejuvenate in its therapeutic hot springs. The location, approximately 51 kilomete...",Throughout the year,4431.9
Mandi,himachal-pradesh,Historical,4.5,"Packed with a thick green cover of pine and deodar trees, the town of Mandi is situated at the junction of Kullu and Dharamshala. It is often referred to as 'Varanasi of Hills', or 'Choti Kashi' as the town has as many as 81 temples spread across its area.",July to March,2618.41
Indrahar Pass Trek,himachal-pradesh,Adventure,3.8,"The trek to Indrahar Pass is a fairly easy one, being the most picturesque trail starting from Mcleodganj, covering Lahesh and Triund Caves, and lasts about 14 km single way.",October to June,3797.06
Nahan,himachal-pradesh,Historical,4.8,"Away from the buzzing crowd of the city, Nahan is a perfect romantic getaway. Lying among the lofty Shivalik range overlooking lush green fields, dirt free roads and clean streets, this small hill station serves as an ideal holiday destination.",July to March,5088.87
Shoja,himachal-pradesh,Adventure,4.0,"Shojha is a small village sitting quietly in the middle of wilderness and panorama. Its untouched beauty might be just the thing that you need to relax and unwind. Located amid the Banjar Valley, the village is dotted with several temples made of wood.",October to June,3797.06
Deoghar,jharkhand,Religious,4.2,"Deoghar, a popular religious destination in Jharkhand is blessed with one of the 12 Jyotirlinga temples known as temple Baidyanath.",October to March,1825.96
Jamshedpur,jharkhand,Historical,3.3,"The largest city in Jharkhand, Jamshedpur is an aesthetically planned township with an appealing infrastructure and landscape. Juxtaposed against the beautiful Dalma Hills, Jamshedpur is the world's eighth-largest steel manufacturing company, along with being India's first planned city.",July to March,2488.79
Ranchi,jharkhand,Historical,4.5,"Ranchi is the capital of mineral-rich state Jharkhand. Located at an altitude of 700 metres, Ranchi was once identified as the summer capital of Bihar owing to its altitude of 700 metres, waterfalls, surrounding forest and beautiful river Subarnekha flowing by. There are not many sightseeing spots i...",October to March,2288.85
Betla National Park,jharkhand,Adventure,4.5,"Betla National Park is a beautiful national park which is spread over the hilly terrain of the attractive Palamau district, west of Ranchi In Jharkhand. Wild elephants wander without restraints in the thickets of the forest and the flora and fauna are enough to mesmerize any visitor. Though there ar...",November to March,3797.06
Ghatshila,jharkhand,Historical,4.2,"If you’ve visited Ranchi and Kolkata -- and having fallen in love with both the cities, you now crave to experience their magic in unison, then do not worry. Your craving is not in vain for there is a place matching exactly that description! Situated in East Singhbhum district of Jharkhand, the town...",July to March,3118.42
Shikharji,jharkhand,Religious,4.3,"Located on the Parasnath Hill, the highest mountain in the state of Jharkhand, in an inland part of rural east India, of the Giridih district of Jharkhand, Shikharji is one of the holiest pilgrimage sites for Jains. It is believed that here is where twenty of the twenty-four Jain Tirthankaras had at...",July to March,3229.855
Dasham Falls,jharkhand,Adventure,4.5,"Located near the Taimara village in the Ranchi district, Dasham Falls, also known as Dassam Falls, is a spectacular waterfall in the state of Jharkhand which is a tributary of the Subarnarekha River. Cascading down a height of 144 ft., the waterfall boast of utter serenity, peace and calm. The area ...",October to April,3797.06
Netarhat,jharkhand,Historical,4.0,"Falling in the Latehar district of Jharkhand, Netarhat is the highest point of Chotanagpur plateau, popularly known as Queen of Chotanagpur. It is best known for the sunrise and sunset views it offers, especially during summers. When travelling by road from Ranchi to Netarhat, you will cross se...",October to June,3118.42
Massanjore Dam,jharkhand,Historical,4.3,"Massanjore is a city in the state of Jharkhand. The most popular tourist attraction here is the Massanjore dam, which lies just across the Mayurakshi River, in Dumka district of Jharkhand. This dam is sometimes referred to as ‘Canada Dam’ or ‘Pearson Dam’ because it was built with Canadian Aid way b...",October to March,3118.42
Hazaribagh,jharkhand,Historical,4.2,"Located in the Chhota Nagpur plateau, 93 Km away from Ranchi, Hazaribagh is a beautiful place with dense forests and natural formations including rock formations and lakes. The forests in Hazaribagh are mostly unexplored and are in its best and purest form with full of greenery.",October to March,2111.89
Dhanbad,jharkhand,Historical,4.3,"Commonly known as India’s Coal Capital, Dhanbad is one of the most populated cities in Jharkhand. Dhanbad is best known for being a commercial mega-producer and owner of the most significant number of coal mines, factories and industry bases. Due to the presence of the coal industries, this city has...",August to March,1721.37
Coorg,karnataka,Adventure,3.8,"Located amidst imposing mountains in Karnataka with a perpetually misty landscape, Coorg is a popular coffee producing hill station. It is popular for its beautiful green hills and the streams cutting right through them. It also stands as a popular destination because of its culture and people....",November to March,9318.86
Mysore,karnataka,Historical,4.4,"Famously known as The City of Palaces, it wouldn’t be wrong to say that Mysore, currently Mysuru, is one of the most important places in the country regarding ancient reigns. It is replete with the history of its dazzling royal heritage, intricate architecture, its famed silk sarees, yoga, and ...",October to March,4029.07
Hampi,karnataka,Historical,4.4,"Hampi, the city of ruins, is a UNESCO World Heritage Site. Situated in the shadowed depth of hills and valleys in the state of Karnataka, this place is a historical delight for travellers. Surrounded by 500 ancient monuments, beautiful temples, bustling street markets, bastions, treasury building an...",October to March,2956.28
Udupi,karnataka,Beach,4.3,"Udupi is a coastal town in Karnataka, most famous for its vegetarian cuisine and South Indian restaurants all over the country. With beautifully carved ancient temples, laidback beaches and unexplored forests, Udupi is also the place where the educational hub of Manipal is located. Situated 60 ...",October to March,3669.96
Chikmagalur,karnataka,Adventure,4.2,"Popularly known as the ‘Coffee Land of Karnataka’, Chikmagalur is situated in the foothills of the Mullayangiri Range and is one of the most beautiful hill stations in Karnataka. Chikmagalur has a perpetual fragrance of coffee lingering in the air with it plenty of coffee plantations. Famous fo...",October-March,5522.98
Jog Falls,karnataka,Adventure,4.6,"The second-highest plunge waterfall in India, Jog Falls is a major tourist attraction in Karnataka and is the highest waterfall in the state. Second, to the Nohkalikai Falls of Meghalaya, Jog falls drops about a huge 253 m (850 ft. ) in a single fall. However, due to the construc...",November to February,2661.15
Murudeshwar,karnataka,Beach,3.9,"Murudeshwar is home to the second tallest statue of Lord Shiva (123 ft) in the world. With the shimmering Arabian Sea on three sides and the magnificent Western Ghats imposing their presence on this town, it is a favourite picnic spot for the folks from Kerala and Karnataka. The beaches and the adve...",October-April,2721.3
Bangalore,karnataka,Historical,4.3,"Having evolved gradually from being the Garden city to the Silicon Valley of India, Bangalore is India's third-largest city. Bangalore is loved for its pleasant weather, beautiful parks and the many lakes here. Bangalore is renowned for its eateries, street food corners, quirky cafes, coffee ro...",June to August,5781.13
Dandeli,karnataka,Adventure,4.5,"Located on the Western Ghats of Uttara Karnataka, Dandeli is bestowed with the lush green forests and lies on the banks of the Kali river. Known for its many fantastic adventure opportunities, Dandeli is a hub for river rafting on river kali . Adventure seekers have many options ...",October to Apr,3826.92
Bandipur National Park,karnataka,Adventure,4.4,"Situated in  Karnataka, Bandipur National Park was once the hunting grounds of the Maharaja of Mysore. It was later established as a reserve in 1974 under Project Tiger and these deciduous forests rich in wildlife have become a popular tourist attraction since then. It is 80 km from Mysore enro...",October to May,5147.52
Nagarhole National Park,karnataka,Adventure,4.5,"Located in the Mysore district of Karnataka, Nagarhole National Park boasts of rich wildlife including both flora and fauna. Located near Bandipur National Park, it is packed with the bounty of raw nature in its best form. Bestowed with best of wildlife, forest cover and varied topogr...",October to Apr,3797.06
Kabini,karnataka,Adventure,3.9,"Located around 245 km from Bangalore, Kabini is primarily known for its handful of luxury resorts around the Kabini River and Nagarhole National Park in the vicinity.  Please note that there are not many budget-friendly accommodations near Kabini River. It is a popular weekend getaway...",October to May,6353.27
Kemmanagundi,karnataka,Adventure,4.4,"A hill station of widespread views and scents of beautiful gardens, Kemmanagundi or KR hills offer a perfect summer retreat for nature lovers and adventure enthusiasts. The area also has trekking, nature walks and picnics. The Royal Horticulture Society of Karnataka is located here an...",September to May,5326.13
Thirthahalli,karnataka,Adventure,4.5,"Thirthahalli is a quaint little town situated on the banks of river Tunga and is also a taluk headquarters in Shimoga District. Famous for the holy river Tunga and its significance to Indian mythology, Thirthahalli is a popular attraction near Shimoga. Set along the dense forests of the Western Ghat...",October to February,3797.06
Kudremukh,karnataka,Adventure,3.9,"Popular and named after a mountainside that resembles a horse's face, Kudremukh is famous for its biodiversity and scenic beauty. A popular hill-station among the Bangalore crowd, Kudremukh is actually a hill range in the Chikmagalur district of Karnataka. Kudremukh Peak is a paradise...",October - April,2979.34
Shravanabelagola,karnataka,Religious,4.5,"Shravanbelagola is an important Jain pilgrimage centre with a 57 m tall monolithic sculpture of Lord Gomateswara called Bahubali statue as its prime attraction. Located 144 km from Bengaluru in Hassan District of Karnataka, the collection of Jain Temples in Shravanbelagola attracts a number of pilgr...",June - August; November - February,3229.855
Shimoga (Shivamogga),karnataka,Adventure,4.0,"With nature in its full bloom, the town of Shimoga has been home to several great dynasties and kingdoms. Packed with several marvels of nature in the form of picturesque landscape, gorgeous waterfalls, mystical temples and lush green surroundings, its raw beauty will leave you absolutely enchanted....",October to February,3797.06
